short_name,overall,DifferenceFromMin,DifferenceFromMax,AverageOverall,RatingCategory
D. Sawhney,47,0,44,66.006,Lowest Rated
C. Remtluanga,47,0,44,66.006,Lowest Rated
Jin Liangkuan,47,0,44,66.006,Lowest Rated
Yin Jie,47,0,44,66.006,Lowest Rated
Wu Yuhang,47,0,44,66.006,Lowest Rated
M. Mewlan,47,0,44,66.006,Lowest Rated
Lyu Jiaqiang,47,0,44,66.006,Lowest Rated
S. Telem,47,0,44,66.006,Lowest Rated
Ye Daoxin,47,0,44,66.006,Lowest Rated
A. Singh,47,0,44,66.006,Lowest Rated
É. Fitzgerald,47,0,44,66.006,Lowest Rated
B. Gilmore,47,0,44,66.006,Lowest Rated
Chen Guoliang,48,1,43,66.006,Lowest Rated
Hao Haiyi,48,1,43,66.006,Lowest Rated
C. Horam,48,1,43,66.006,Lowest Rated
A. Suryavanshi,48,1,43,66.006,Lowest Rated
He Youzu,48,1,43,66.006,Lowest Rated
Zhang Yue,48,1,43,66.006,Lowest Rated
Fu Hao,48,1,43,66.006,Lowest Rated
T. Jinad,48,1,43,66.006,Lowest Rated
B. Romero,48,1,43,66.006,Lowest Rated
Xiang Rongjun,48,1,43,66.006,Lowest Rated
Li Junfeng,48,1,43,66.006,Lowest Rated
P. Singh,48,1,43,66.006,Lowest Rated
Qiu Zhongyi,48,1,43,66.006,Lowest Rated
N. Barla,48,1,43,66.006,Lowest Rated
M. Zothanpuia,48,1,43,66.006,Lowest Rated
Leng Jixuan,48,1,43,66.006,Lowest Rated
Li Junju,48,1,43,66.006,Lowest Rated
Xue Tian,48,1,43,66.006,Lowest Rated
Jin Haoxiang,48,1,43,66.006,Lowest Rated
G. Rauth,48,1,43,66.006,Lowest Rated
PC Rohlupuia,48,1,43,66.006,Lowest Rated
D. Egel,48,1,43,66.006,Lowest Rated
S. Salem,48,1,43,66.006,Lowest Rated
F. Chawngthansanga,48,1,43,66.006,Lowest Rated
N. Sernelius,48,1,43,66.006,Lowest Rated
Wang Tengda,48,1,43,66.006,Lowest Rated
E. Singh,48,1,43,66.006,Lowest Rated
Lee Jong Hoon,48,1,43,66.006,Lowest Rated
Son Seung Woo,48,1,43,66.006,Lowest Rated
Sun Xuelong,49,2,42,66.006,Lowest Rated
Guo Yunqi,49,2,42,66.006,Lowest Rated
S. Fernandes,49,2,42,66.006,Lowest Rated
O. Cisneros,49,2,42,66.006,Lowest Rated
Ahn Chang Min,49,2,42,66.006,Lowest Rated
Gao Jian,49,2,42,66.006,Lowest Rated
Lee Gyu Baek,49,2,42,66.006,Lowest Rated
Jeon Yong Jun,49,2,42,66.006,Lowest Rated
He Yiran,49,2,42,66.006,Lowest Rated
Hua Mingcan,49,2,42,66.006,Lowest Rated
Liao Lei,49,2,42,66.006,Lowest Rated
Liu Haofan,49,2,42,66.006,Lowest Rated
Bae Soo Min,49,2,42,66.006,Lowest Rated
L. Francis,49,2,42,66.006,Lowest Rated
E. Haddock,49,2,42,66.006,Lowest Rated
D. Molloy,49,2,42,66.006,Lowest Rated
J. Duggan,49,2,42,66.006,Lowest Rated
C. Roberts,49,2,42,66.006,Lowest Rated
Yan Yu,49,2,42,66.006,Lowest Rated
Duan Dezhi,49,2,42,66.006,Lowest Rated
